2.310 ;0.00077;
2.320 ;0.00069;
2.330 ;0.00062;
2.340 ;0.00055;
2.350 ;0.00048;
2.360 ;0.00041;
2.370 ;0.00033;
2.380 ;0.00026;
2.390 ;0.00018;
2.400 ;0.00010;
2.410 ;0.00003;
2.420 ;-0.00004;
2.430 ;-0.00011;
2.440 ;-0.00019;
2.450 ;-0.00026;
2.460 ;-0.00033;
2.470 ;-0.00040;
2.480 ;-0.00048;
2.490 ;-0.00056;
2.500 ;-0.00063;
2.510 ;-0.00071;
2.520 ;-0.00078;
2.530 ;-0.00085;
2.540 ;-0.00092;
2.550 ;-0.00099;
2.560 ;-0.00105;
2.570 ;-0.00113;
2.580 ;-0.00120;
2.590 ;-0.00127;
2.600 ;-0.00135;
2.610 ;-0.00142;
2.620 ;-0.00149;
2.630 ;-0.00156;
2.640 ;-0.00162;
2.650 ;-0.00169;
2.660 ;-0.00175;
2.670 ;-0.00182;
2.680 ;-0.00189;
2.690 ;-0.00196;
2.700 ;-0.00203;
2.710 ;-0.00210;
2.720 ;-0.00217;
2.730 ;-0.00223;
2.740 ;-0.00229;
2.750 ;-0.00236;
2.760 ;-0.00242;
2.770 ;-0.00248;
2.780 ;-0.00255;
2.790 ;-0.00261;
2.800 ;-0.00267;
2.810 ;-0.00274;
2.820 ;-0.00280;
2.830 ;-0.00286;
2.840 ;-0.00292;
2.850 ;-0.00297;
2.860 ;-0.00303;
2.870 ;-0.00308;
2.880 ;-0.00314;
2.890 ;-0.00320;
2.900 ;-0.00326;
2.910 ;-0.00332;
2.920 ;-0.00337;
2.930 ;-0.00342;
2.940 ;-0.00347;
2.950 ;-0.00352;
2.960 ;-0.00357;
2.970 ;-0.00362;
2.980 ;-0.00367;
2.990 ;-0.00372;
3.000 ;-0.00377;
3.010 ;-0.00382;
3.020 ;-0.00387;
3.030 ;-0.00391;
3.040 ;-0.00395;
3.050 ;-0.00400;
3.060 ;-0.00404;
3.070 ;-0.00408;
3.080 ;-0.00412;
3.090 ;-0.00416;
3.100 ;-0.00420;
3.110 ;-0.00424;
3.120 ;-0.00428;
3.130 ;-0.00432;
3.140 ;-0.00435;
3.150 ;-0.00439;
3.160 ;-0.00442;
3.170 ;-0.00445;
3.180 ;-0.00448;
